#	Company	Symbol	Weight	      Price	Chg	% Chg
84	Automatic Data Processing	ADP	0.25%	   294.18	1.74	(0.59%)
85	Palo Alto Networks, Inc.	PANW	0.25%	   179.48	0.55	(0.31%)
86	Boeing Company	BA	0.24%	   158.80	4.74	(3.08%)
87	Marsh & Mclennan Companies, Inc.	MMC	0.24%	   229.81	-3.30	(-1.42%)
88	Starbucks Corp	SBUX	0.24%	   98.69	-0.89	(-0.89%)
89	Eaton Corporation, Plcs	ETN	0.24%	   292.04	9.73	(3.45%)
90	Chubb Limited	CB	0.23%	   283.98	-6.72	(-2.31%)
91	Prologis, Inc.	PLD	0.23%	   115.73	-1.45	(-1.24%)
92	Analog Devices, Inc.	ADI	0.22%	   206.62	-2.46	(-1.18%)
93	Blackstone Inc.	BX	0.21%	   140.54	2.40	(1.74%)
94	Lockheed Martin Corp.	LMT	0.21%	   461.50	-7.38	(-1.57%)
95	Micron Technology, Inc.	MU	0.21%	   95.64	6.59	(7.40%)
96	The Southern Company	SO	0.21%	   88.68	-1.42	(-1.58%)
97	Altria Group, Inc.	MO	0.21%	   57.81	-0.34	(-0.58%)
98	American Tower Corporation	AMT	0.21%	   206.69	-3.09	(-1.47%)
99	Elevance Health, Inc.	ELV	0.21%	   411.04	-11.00	(-2.61%)
100	Intercontinental Exchange Inc.	ICE	0.20%	   169.02	0.66	(0.39%)
101	Lam Research Corp	LRCX	0.20%	   76.59	3.23	(4.40%)
102	Cme Group Inc.	CME	0.20%	   256.72	-3.71	(-1.42%)
103	Duke Energy Corporation	DUK	0.19%	   116.64	-1.06	(-0.90%)
104	Mondelez International, Inc. Class A	MDLZ	0.19%	   64.98	-2.87	(-4.23%)
105	Kla Corporation	KLAC	0.19%	   680.39	16.17	(2.43%)
106	The Cigna Group	CI	0.19%	   311.05	-6.82	(-2.15%)
107	Nike, Inc.	NKE	0.19%	   73.58	-0.59	(-0.80%)
108	Welltower Inc.	WELL	0.18%	   147.38	0.09	(0.06%)
109	Aon Plc Class A	AON	0.18%	   398.29	-1.45	(-0.36%)
110	Intel Corp	INTC	0.18%	   20.68	0.90	(4.55%)
111	United Parcel Service, Inc. Class B	UPS	0.18%	   115.26	-1.10	(-0.95%)
112	Mckesson Corporation	MCK	0.18%	   640.66	-12.53	(-1.92%)
113	Waste Management, Inc.	WM	0.17%	   222.86	-1.35	(-0.60%)
114	The Sherwin-Williams Company	SHW	0.17%	   349.83	-3.19	(-0.90%)
115	Cvs Health Corporation	CVS	0.17%	   64.84	-0.14	(-0.22%)
116	Arista Networks	ANET	0.17%	   80.25	1.12	(1.42%)
117	Arthur J. Gallagher & Co.	AJG	0.17%	   325.08	-0.67	(-0.21%)
118	Equinix, Inc. Reit	EQIX	0.17%	   854.99	18.75	(2.24%)
119	3m Company	MMM	0.17%	   150.24	2.70	(1.83%)
120	Parker-Hannifin Corporation	PH	0.17%	   613.14	1.95	(0.32%)
121	Ge Vernova Inc.	GEV	0.17%	   298.68	14.47	(5.09%)
122	Colgate-Palmolive Company	CL	0.16%	   90.82	-3.28	(-3.49%)
123	Crowdstrike Holdings, Inc. Class A	CRWD	0.16%	   346.76	17.01	(5.16%)
124	O'reilly Automotive, Inc.	ORLY	0.16%	   1,309.29	-14.77	(-1.12%)
125	Kkr & Co. Inc.	KKR	0.16%	   114.37	2.26	(2.02%)
126	Regeneron Pharmaceuticals Inc	REGN	0.16%	   689.50	-28.66	(-3.99%)
127	Trane Technologies Plc	TT	0.16%	   339.37	5.41	(1.62%)
128	Amphenol Corporation	APH	0.16%	   62.83	1.19	(1.93%)
129	Transdigm Group Incorporated	TDG	0.16%	   1,325.37	5.50	(0.42%)
130	Zoetis Inc.	ZTS	0.16%	   161.68	-2.71	(-1.65%)
131	Eog Resources, Inc.	EOG	0.15%	   124.27	-0.22	(-0.18%)
132	Moody's Corporation	MCO	0.15%	   442.12	-1.73	(-0.39%)
133	Motorola Solutions, Inc.	MSI	0.15%	   412.88	1.15	(0.28%)
134	Illinois Tool Works Inc.	ITW	0.14%	   251.30	-3.52	(-1.38%)
135	Paypal Holdings, Inc.	PYPL	0.14%	   68.62	0.64	(0.94%)
136	Chipotle Mexican Grill, Inc.	CMG	0.14%	   50.05	0.07	(0.14%)
137	General Dynamics Corporation	GD	0.14%	   260.01	-4.11	(-1.56%)
138	Northrop Grumman Corp.	NOC	0.14%	   475.10	-19.01	(-3.85%)
139	Pnc Financial Services Group	PNC	0.14%	   171.01	0.95	(0.56%)
140	Cintas Corp	CTAS	0.14%	   192.21	-4.35	(-2.21%)
141	Williams Companies Inc.	WMB	0.14%	   56.30	1.35	(2.46%)
142	Air Products & Chemicals, Inc.	APD	0.14%	   294.65	-3.43	(-1.15%)
143	Synopsys Inc	SNPS	0.14%	   432.46	1.78	(0.41%)
144	Ecolab, Inc.	ECL	0.14%	   255.18	-3.88	(-1.50%)
145	Constellation Energy Corporation	CEG	0.14%	   215.35	6.77	(3.25%)
146	Becton, Dickinson and Co.	BDX	0.14%	   223.82	-1.10	(-0.49%)
147	U.S. Bancorp	USB	0.14%	   41.68	0.12	(0.29%)
148	Cadence Design Systems	CDNS	0.14%	   239.22	4.97	(2.12%)
149	Emerson Electric Co.	EMR	0.13%	   110.84	0.12	(0.11%)
150	Capital One Financial	COF	0.13%	   170.45	5.05	(3.05%)
151	Fortinet, Inc.	FTNT	0.13%	   97.93	-0.35	(-0.36%)
152	Roper Technologies, Inc.	ROP	0.13%	   566.42	0.67	(0.12%)
153	Autozone, Inc.	AZO	0.13%	   3,547.13	-15.63	(-0.44%)
154	Hca Healthcare, Inc.	HCA	0.12%	   312.87	-10.68	(-3.30%)
155	Bank of New York Mellon Corporation	BK	0.12%	   80.76	-0.29	(-0.36%)
156	Apollo Global Management, Inc.	APO	0.12%	   134.92	4.50	(3.45%)
157	The Travelers Companies, Inc.	TRV	0.12%	   251.99	-2.57	(-1.01%)
158	Oneok, Inc.	OKE	0.12%	   92.97	0.35	(0.38%)
159	Csx Corporation	CSX	0.12%	   29.55	0.03	(0.10%)
160	Marriot International Class A	MAR	0.12%	   243.81	-2.50	(-1.01%)
161	Schlumberger Limited	SLB	0.12%	   40.05	-0.03	(-0.07%)
162	Hilton Worldwide Holdings Inc.	HLT	0.12%	   228.40	-3.43	(-1.48%)
163	American Electric Power Company, Inc.	AEP	0.12%	   102.96	-1.47	(-1.41%)
164	Paccar Inc	PCAR	0.12%	   102.33	-2.39	(-2.28%)
165	Carrier Global Corporation	CARR	0.12%	   65.43	-0.22	(-0.34%)
166	Fedex Corporation	FDX	0.12%	   243.51	0.55	(0.23%)
167	Airbnb, Inc. Class A	ABNB	0.11%	   126.55	1.11	(0.88%)
168	Autodesk Inc	ADSK	0.11%	   251.85	1.00	(0.40%)
169	The Allstate Corporation	ALL	0.11%	   198.25	-3.33	(-1.65%)
170	Aflac Inc.	AFL	0.11%	   104.69	-1.58	(-1.49%)
171	General Motors Company	GM	0.11%	   47.90	-0.38	(-0.79%)
172	Truist Financial Corporation	TFC	0.11%	   39.84	-0.07	(-0.18%)
173	Norfolk Southern Corp.	NSC	0.11%	   230.96	-2.02	(-0.87%)
174	Nxp Semiconductors N.v.	NXPI	0.11%	   204.45	-1.35	(-0.66%)
175	Target Corporation	TGT	0.11%	   107.28	-5.48	(-4.86%)
176	Workday, Inc. Class A	WDAY	0.11%	   241.67	-1.26	(-0.52%)
177	Freeport-Mcmoran Inc.	FCX	0.11%	   36.78	0.90	(2.51%)
178	Johnson Controls International Plc	JCI	0.11%	   78.68	1.69	(2.20%)
179	Royal Caribbean Group	RCL	0.11%	   207.36	0.19	(0.09%)
180	Kinder Morgan, Inc.	KMI	0.11%	   26.52	0.11	(0.42%)
181	Phillips 66	PSX	0.11%	   123.98	0.43	(0.35%)
182	Howmet Aerospace Inc.	HWM	0.11%	   127.93	2.43	(1.94%)
183	American International Group, Inc.	AIG	0.11%	   80.38	-1.25	(-1.53%)
184	Simon Property Group, Inc.	SPG	0.11%	   165.83	2.35	(1.44%)
185	Realty Income Corporation	O	0.10%	   56.37	-0.34	(-0.60%)
186	Newmont Corporation	NEM	0.10%	   43.63	0.21	(0.48%)
187	Public Storage	PSA	0.10%	   303.45	-4.76	(-1.54%)
188	Kimberly-Clark Corp.	KMB	0.10%	   139.97	-4.12	(-2.86%)
189	Republic Services Inc.	RSG	0.10%	   230.63	-1.08	(-0.47%)
190	Paychex Inc	PAYX	0.10%	   145.01	-1.49	(-1.02%)
